strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
KY241773	zika	KY241773	2016-09-07	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241773	?	?	?
KY693677	zika	KY693677	2016-08-26	North America	Honduras	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY693677	?	?	?
KY765324	zika	KY765324	2016-07-07	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY765324	?	?	?
KY766069	zika	KY766069	2013-10-25	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY766069	?	?	?
LF621701	zika	LF621701	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LF621701	?	?	?
LP836864	zika	LP836864	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP836864	?	?	?
LP918026	zika	LP918026	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP918026	?	?	?
LP940738	zika	LP940738	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940738	?	?	?
LP981795	zika	LP981795	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP981795	?	?	?
LQ868294	zika	LQ868294	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868294	?	?	?
MA887910	zika	MA887910	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MA887910	?	?	?
MF099651	zika	MF099651	2016-08-XX	Asia	China	Guizhou	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF099651	?	?	?
MF801377	zika	MF801377	2016-02-22	North America	El Salvador	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801377	?	?	?
MF801398	zika	MF801398	2016-05-20	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801398	?	?	?
MF801399	zika	MF801399	2016-05-20	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801399	?	?	?
MG770184	zika	MG770184	2017-03-03	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG770184	?	?	?
MG808121	zika	MG808121	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808121	?	?	?
MH055376	zika	MH055376	2016-XX-XX	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH055376	?	?	?
MH061865	zika	MH061865	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061865	?	?	?
MH061883	zika	MH061883	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061883	?	?	?
MH061889	zika	MH061889	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061889	?	?	?
MH061897	zika	MH061897	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061897	?	?	?
MH061901	zika	MH061901	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061901	?	?	?
MH157206	zika	MH157206	2016-09-23	North America	Mexico	 Chiapas	 Chiapas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH157206	?	?	?
MH158236	zika	MH158236	2010-XX-XX	Asia	Cambodia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH158236	?	?	?
MH249066	zika	MH249066	2016-XX-XX	South America	Brazil	Belo Horizonte	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH249066	?	?	?
MH379782	zika	MH379782	2016-11-10	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH379782	?	?	?
MH675619	zika	MH675619	2016-05-XX	?	?	?	?	ENA	genome	Laboratory of Emerging Pathogens	https://www.ebi.ac.uk/ena/browser/view/MH675619	?	?	?
MH718923	zika	MH718923	2012-12-19	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH718923	?	?	?
MK028550	zika	MK028550	2017-03-28	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK028550	?	?	?
MK028556	zika	MK028556	2017-08-03	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK028556	?	?	?
MK049245	zika	MK049245	2016-02-29	South America	Colombia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK049245	?	?	?
MK049247	zika	MK049247	2016-01-29	South America	Colombia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK049247	?	?	?
MK216707	zika	MK216707	2016-02-29	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216707	?	?	?
MK216741	zika	MK216741	2017-03-28	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216741	?	?	?
MK271811	zika	MK271811	2016-02-13	Asia	Thailand	Phitsanulok	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK271811	?	?	?
MK271855	zika	MK271855	2016-09-13	Asia	Thailand	Kalasin	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK271855	?	?	?
MN170703	zika	MN170703	2018-03-07	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN170703	?	?	?
MN577543	zika	MN577543	2014-12-11	North America	Haiti	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN577543	?	?	?
MN755616	zika	MN755616	1984-11-17	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN755616	?	?	?
MN755623	zika	MN755623	2015-12-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN755623	?	?	?
MP508152	zika	MP508152	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MP508152	?	?	?
MT482107	zika	MT482107	2011-06-17	Africa	Uganda	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MT482107	?	?	?
MT482108	zika	MT482108	2013-01-30	Africa	Uganda	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MT482108	?	?	?
MT671184	zika	MT671184	2020-06-24	North America	Mexico	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MT671184	?	?	?
OK054369	zika	OK054369	2016-08-24	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054369	?	?	?
OK054425	zika	OK054425	2016-09-07	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054425	?	?	?
OK573008	zika	OK573008	XXXX-XX-XX	North America	United States (USA)	 MD	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK573008	?	?	?
OK573282	zika	OK573282	XXXX-XX-XX	North America	United States (USA)	 MD	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK573282	?	?	?
OK573285	zika	OK573285	XXXX-XX-XX	North America	United States (USA)	 MD	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK573285	?	?	?
OM964566	zika	OM964566	2019-12-12	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OM964566	?	?	?
ON586854	zika	ON586854	2016-10-22	North America	Mexico	?	?	ENA	genome	A. Elizondo-Quiroga	https://www.ebi.ac.uk/ena/browser/view/ON586854	?	?	?
OP141765	zika	OP141765	2016-XX-XX	South America	Brazil	 Goias	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP141765	?	?	?
OP858734	zika	OP858734	2016-09-XX	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858734	?	?	?
OP858747	zika	OP858747	2016-10-XX	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858747	?	?	?
OP858756	zika	OP858756	2017-06-XX	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858756	?	?	?
OP858764	zika	OP858764	2017-10-17	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858764	?	?	?
OR264647	zika	OR264647	2023-03-16	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OR264647	?	?	?
OR535168	zika	OR535168	2020-XX-XX	Asia	Thailand	 Nakhon Ratchasima	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OR535168	?	?	?
PP130173	zika	PP130173	2023-06-XX	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PP130173	?	?	?
PP316139	zika	PP316139	2021-05-12	North America	Haiti	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PP316139	?	?	?
AB908162	zika	AB908162	2014-01-06	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AB908162	?	?	?
KF268949	zika	KF268949	XXXX-XX-XX	Africa	Central African Republic	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF268949	?	?	?
KF383080	zika	KF383080	1990-XX-XX	Africa	Cote d'Ivoire	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383080	?	?	?
KF383096	zika	KF383096	1998-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383096	?	?	?
KM078948	zika	KM078948	2014-04-03	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078948	?	?	?
KR816336	zika	KR816336	2015-05-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KR816336	?	?	?
KU232293	zika	KU232293	2015-05-25	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU232293	?	?	?
KU232294	zika	KU232294	2015-05-25	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU232294	?	?	?
KU232297	zika	KU232297	2015-05-25	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU232297	?	?	?
KU501217	zika	KU501217	2015-11-01	North America	Guatemala	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU501217	?	?	?
KU646828	zika	KU646828	2015-11-10	South America	Colombia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU646828	?	?	?
KU686218	zika	KU686218	2015-10-22	North America	Mexico	Queretaro	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU686218	?	?	?
KU724098	zika	KU724098	2015-11-29	North America	Panama	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU724098	?	?	?
KU758869	zika	KU758869	2016-01-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU758869	?	?	?
KU758873	zika	KU758873	2016-01-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU758873	?	?	?
KU758878	zika	KU758878	2016-01-XX	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU758878	?	?	?
KU872850	zika	KU872850	2016-02-XX	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU872850	?	?	?
KU886298	zika	KU886298	2016-02-15	Europe	France	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU886298	?	?	?
KU926309	zika	KU926309	2016-01-14	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU926309	?	?	?
KU940228	zika	KU940228	2015-07-01	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU940228	?	?	?
KU997667	zika	KU997667	2016-02-16	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU997667	?	?	?
KX198134	zika	KX198134	1984-11-17	Africa	Senegal	Kedougou	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX198134	?	?	?
KX216632	zika	KX216632	2015-XX-XX	Oceania	Solomon Islands	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX216632	?	?	?
KX216634	zika	KX216634	2016-XX-XX	Oceania	Tonga	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX216634	?	?	?
KX247632	zika	KX247632	2015-11-XX	North America	Mexico	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX247632	?	?	?
KX253995	zika	KX253995	2016-04-21	Europe	Germany	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX253995	?	?	?
KX261852	zika	KX261852	2016-02-XX	South America	Colombia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX261852	?	?	?
KX261853	zika	KX261853	2016-02-XX	South America	Colombia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX261853	?	?	?
KX261855	zika	KX261855	2016-02-XX	South America	Colombia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX261855	?	?	?
KX520666	zika	KX520666	2015-08-XX	South America	Brazil	 Bahia	 Bahia	ENA	genome	Silvia Sardi	https://www.ebi.ac.uk/ena/browser/view/KX520666	?	?	?
KX766029	zika	KX766029	2016-06-23	North America	Mexico	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX766029	?	?	?
KX842449	zika	KX842449	2016-06-22	North America	United States (USA)	 Florida	 Florida	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX842449	?	?	?
KX922708	zika	KX922708	2016-09-04	North America	United States (USA)	 Florida	 Florida	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX922708	?	?	?
KY014295	zika	KY014295	2016-06-22	North America	United States (USA)	Florida	?	ENA	genome	Florida Department of Health, Florida, USA	https://www.ebi.ac.uk/ena/browser/view/KY014295	?	?	?
KY014301	zika	KY014301	2016-04-13	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY014301	?	?	?
KY014303	zika	KY014303	2016-04-11	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY014303	?	?	?
KY014312	zika	KY014312	2016-05-13	North America	Honduras	Francisco Morazan	?	ENA	genome	Hospital Escuela Universitario, Tegucigalpa,	https://www.ebi.ac.uk/ena/browser/view/KY014312	?	?	?
KY014318	zika	KY014318	2016-04-27	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY014318	?	?	?
KY014319	zika	KY014319	2016-04-30	North America	Honduras	Francisco Morazan	?	ENA	genome	Hospital Escuela Universitario, Tegucigalpa,	https://www.ebi.ac.uk/ena/browser/view/KY014319	?	?	?
KY014321	zika	KY014321	2016-04-11	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY014321	?	?	?
KY014323	zika	KY014323	2016-08-23	North America	United States (USA)	 FL	 FL	ENA	genome	Miami-Dade Mosquito Control	https://www.ebi.ac.uk/ena/browser/view/KY014323	?	?	?
KY014325	zika	KY014325	2016-08-02	North America	United States (USA)	Florida	?	ENA	genome	Florida Department of Health, Florida, USA	https://www.ebi.ac.uk/ena/browser/view/KY014325	?	?	?
KY075933	zika	KY075933	2016-06-21	North America	United States (USA)	Florida	?	ENA	genome	Florida Gulf Coast University	https://www.ebi.ac.uk/ena/browser/view/KY075933	?	?	?
KY126346	zika	KY126346	2016-08-XX	Asia	Taiwan	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY126346	?	?	?
KY241674	zika	KY241674	2016-09-05	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241674	?	?	?
KY241680	zika	KY241680	2016-09-07	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241680	?	?	?
KY241737	zika	KY241737	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241737	?	?	?
KY241748	zika	KY241748	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241748	?	?	?
KY241764	zika	KY241764	2016-08-31	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241764	?	?	?
KY241770	zika	KY241770	2016-08-30	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241770	?	?	?
KY241786	zika	KY241786	2016-09-06	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241786	?	?	?
KY272987	zika	KY272987	2016-08-30	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY272987	?	?	?
KY293645	zika	KY293645	2016-02-27	Oceania	New Zealand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY293645	?	?	?
KY325464	zika	KY325464	2016-09-19	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325464	?	?	?
KY415991	zika	KY415991	2014-06-24	North America	Haiti	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY415991	?	?	?
KY558990	zika	KY558990	2016-01-15	South America	Brazil	 Pernambuco	 Pernambuco	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY558990	?	?	?
KY558994	zika	KY558994	2016-01-18	South America	Brazil	 Pernambuco	 Pernambuco	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY558994	?	?	?
KY558996	zika	KY558996	2015-05-13	South America	Brazil	 Pernambuco	 Pernambuco	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY558996	?	?	?
KY558998	zika	KY558998	2015-06-15	South America	Brazil	 Pernambuco	 Pernambuco	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY558998	?	?	?
KY558999	zika	KY558999	2016-07-10	South America	Brazil	 Pernambuco	 Pernambuco	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY558999	?	?	?
KY559025	zika	KY559025	2016-01-15	South America	Brazil	Rio de janeiro	?	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY559025	?	?	?
KY561343	zika	KY561343	2016-02-19	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY561343	?	?	?
KY606272	zika	KY606272	2016-08-05	North America	Mexico	Oaxaca	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY606272	?	?	?
KY765309	zika	KY765309	2016-06-11	Europe	Spain	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY765309	?	?	?
KY785413	zika	KY785413	2016-10-06	North America	Dominican Republic	?	?	ENA	genome	Massachusetts Department of Public Health,	https://www.ebi.ac.uk/ena/browser/view/KY785413	?	?	?
KY785420	zika	KY785420	2016-04-18	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785420	?	?	?
KY785428	zika	KY785428	2016-06-13	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785428	?	?	?
KY785429	zika	KY785429	2016-04-14	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY785429	?	?	?
KY785437	zika	KY785437	2016-03-14	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY785437	?	?	?
KY785441	zika	KY785441	2016-06-13	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785441	?	?	?
KY785450	zika	KY785450	2016-04-12	South America	Brazil	Rio de Janeiro	?	ENA	genome	Instituto Nacional de Infectologia Evandro	https://www.ebi.ac.uk/ena/browser/view/KY785450	?	?	?
KY785451	zika	KY785451	2016-03-22	?	?	?	?	ENA	genome	Florida Department of Health, Florida, USA	https://www.ebi.ac.uk/ena/browser/view/KY785451	?	?	?
KY785465	zika	KY785465	2016-04-07	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785465	?	?	?
KY785474	zika	KY785474	2016-08-04	North America	United States (USA)	Florida	?	ENA	genome	Florida Department of Health, Florida, USA	https://www.ebi.ac.uk/ena/browser/view/KY785474	?	?	?
LP940741	zika	LP940741	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940741	?	?	?
LP981792	zika	LP981792	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP981792	?	?	?
LQ729876	zika	LQ729876	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ729876	?	?	?
LY589873	zika	LY589873	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LY589873	?	?	?
MA887908	zika	MA887908	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MA887908	?	?	?
MF048805	zika	MF048805	2016-03-05	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF048805	?	?	?
MF077458	zika	MF077458	2016-11-11	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF077458	?	?	?
MF098769	zika	MF098769	2016-08-25	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF098769	?	?	?
MF098771	zika	MF098771	2017-01-30	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF098771	?	?	?
MF434521	zika	MF434521	2016-07-19	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF434521	?	?	?
MF574555	zika	MF574555	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574555	?	?	?
MF574557	zika	MF574557	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574557	?	?	?
MF574577	zika	MF574577	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574577	?	?	?
MF801391	zika	MF801391	2016-07-06	North America	Mexico	Oaxaca	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801391	?	?	?
MF801397	zika	MF801397	2016-05-20	North America	Mexico	Campeche	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801397	?	?	?
MF801400	zika	MF801400	2016-05-20	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801400	?	?	?
MF801413	zika	MF801413	2016-07-07	North America	Mexico	Guerrero	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801413	?	?	?
MF801415	zika	MF801415	2016-07-05	North America	Mexico	Guerrero	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801415	?	?	?
MF801425	zika	MF801425	2016-06-24	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801425	?	?	?
MF926508	zika	MF926508	2016-10-13	Africa	Nigeria	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF926508	?	?	?
MF988743	zika	MF988743	2016-09-01	North America	United States (USA)	 FL	 FL	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF988743	?	?	?
MG012226	zika	MG012226	2015-11-XX	South America	Colombia	 Cali	 Cali	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG012226	?	?	?
MG012227	zika	MG012227	2015-12-XX	South America	Colombia	 Cali	 Cali	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG012227	?	?	?
MG674718	zika	MG674718	2016-04-16	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG674718	?	?	?
MG742364	zika	MG742364	2017-10-26	Europe	Portugal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG742364	?	?	?
MG751804	zika	MG751804	2016-09-XX	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG751804	?	?	?
MG751805	zika	MG751805	2016-09-XX	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG751805	?	?	?
MG808115	zika	MG808115	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808115	?	?	?
MG808120	zika	MG808120	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808120	?	?	?
MG808132	zika	MG808132	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808132	?	?	?
MG808133	zika	MG808133	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808133	?	?	?
MG827392	zika	MG827392	2013-10-25	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG827392	?	?	?
MG967272	zika	MG967272	2014-02-28	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG967272	?	?	?
MH061855	zika	MH061855	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061855	?	?	?
MH061856	zika	MH061856	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061856	?	?	?
MH061859	zika	MH061859	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061859	?	?	?
MH061863	zika	MH061863	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061863	?	?	?
MH061866	zika	MH061866	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061866	?	?	?
MH061868	zika	MH061868	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061868	?	?	?
MH061877	zika	MH061877	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061877	?	?	?
MH061896	zika	MH061896	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061896	?	?	?
